iter	RMSE
0	14.85058475
1	14.4311762
2	13.98561563
3	13.58829369
4	13.22692933
5	12.88730481
6	12.52259268
7	12.20144488
8	11.91781811
9	11.61355705
10	11.30985224
11	11.04559324
12	10.76105692
13	10.45067707
14	10.20602445
15	9.971441798
16	9.734044691
17	9.496972686
18	9.282686253
19	9.105922241
20	8.928892724
21	8.734786177
22	8.541637157
23	8.354683525
24	8.175086921
25	8.00742534
26	7.850964195
27	7.686403417
28	7.537989293
29	7.411052395
30	7.279443436
31	7.137665414
32	7.011829337
33	6.901124941
34	6.782393668
35	6.667260265
36	6.554035254
37	6.460360479
38	6.372529086
39	6.287158889
40	6.215300577
41	6.129456601
42	6.05533179
43	5.991736407
44	5.92087166
45	5.848466925
46	5.779284783
47	5.714143744
48	5.652962063
49	5.599354131
50	5.538118129
51	5.479868312
52	5.429472455
53	5.384821714
54	5.340227582
55	5.293822496
56	5.246851184
57	5.199962541
58	5.153570916
59	5.113296918
60	5.078346277
61	5.040390517
62	5.007141498
63	4.978210212
64	4.941764498
65	4.918196409
66	4.887582618
67	4.855055904
68	4.821482548
69	4.796508016
70	4.765939835
71	4.73529664
72	4.730260894
73	4.699269811
74	4.681380075
75	4.651800841
76	4.640434759
77	4.612991652
78	4.595148064
79	4.57326401
80	4.544861689
81	4.521946609
82	4.493355034
83	4.480824079
84	4.452187196
85	4.43689036
86	4.423369024
87	4.404689625
88	4.376955529
89	4.354044229
90	4.338249904
91	4.319424662
92	4.295823696
93	4.268696096
94	4.248723919
95	4.233019611
96	4.217735602
97	4.200903883
98	4.177769625
99	4.154663224
100	4.139139257
101	4.118272721
102	4.100129942
103	4.084561471
104	4.067067194
105	4.051260045
106	4.030704322
107	4.011036428
108	3.999645692
109	3.985772639
110	3.968737517
111	3.950309775
112	3.933035321
113	3.92849952
114	3.913548455
115	3.894072098
116	3.882867323
117	3.866225984
118	3.843701366
119	3.830159062
120	3.824560956
121	3.809265232
122	3.796333749
123	3.783693898
124	3.763633271
125	3.752087464
126	3.741517652
127	3.727473817
128	3.714681139
129	3.703411705
130	3.68532162
131	3.674349289
132	3.66083296
133	3.65100776
134	3.637430544
135	3.623561372
136	3.613022266
137	3.603152335
138	3.589261334
139	3.576717871
140	3.56109424
141	3.546703645
142	3.537812681
143	3.522741388
144	3.511155932
145	3.500063989
146	3.490004364
147	3.480575976
148	3.470888841
149	3.45555346
150	3.440321855
151	3.426969888
152	3.426090775
153	3.413128708
154	3.399437382
155	3.384978657
156	3.37265853
157	3.364259282
158	3.355270684
159	3.345054883
160	3.339427177
161	3.329109835
162	3.317093959
163	3.301492955
164	3.289440983
165	3.27850462
166	3.269885355
167	3.259470664
168	3.248020677
169	3.238132613
170	3.225989708
171	3.218325797
172	3.208875705
