iter	Passed	Remaining
0	2	510
1	3	397
2	4	359
3	6	384
4	7	396
5	9	408
6	10	369
7	12	379
8	14	385
9	15	392
10	16	371
11	18	375
12	20	380
13	20	361
14	22	364
15	24	366
16	25	360
17	26	346
18	28	353
19	30	359
20	32	363
21	34	369
22	69	705
23	71	694
24	73	682
25	75	669
26	76	649
27	77	633
28	79	623
29	80	606
30	81	588
31	82	575
32	84	568
33	85	560
34	87	550
35	87	535
36	88	525
37	90	519
38	92	516
39	94	512
40	95	499
41	96	494
42	99	492
43	101	488
44	103	484
45	103	474
46	105	470
47	106	462
48	108	460
49	110	456
50	167	674
51	169	666
52	171	658
53	174	651
54	175	639
55	176	631
56	178	624
57	180	617
58	183	611
59	185	604
60	187	597
61	189	591
62	189	580
63	189	569
64	191	563
65	192	552
66	192	543
67	194	538
68	196	533
69	197	524
70	199	519
71	201	514
72	201	504
73	204	501
74	204	493
75	206	488
76	206	480
77	208	475
78	209	468
79	210	463
80	266	576
81	268	570
82	270	564
83	271	555
84	273	549
85	274	542
86	274	533
87	276	528
88	278	523
89	280	517
90	282	512
91	284	507
92	286	502
93	288	497
94	290	492
95	292	486
96	294	482
97	296	477
98	299	475
99	301	470
100	303	465
101	305	460
102	307	456
103	365	534
104	367	528
105	369	522
106	371	517
107	373	511
108	375	506
109	377	500
110	379	495
111	381	490
112	383	485
113	383	478
114	385	473
115	387	468
116	389	462
117	391	457
118	393	453
119	395	448
120	396	442
121	398	437
122	400	433
123	402	428
124	404	423
125	406	419
126	408	414
127	410	410
128	463	456
129	465	451
130	467	446
131	469	441
132	471	436
133	473	431
134	475	426
135	477	421
136	479	416
137	481	411
138	483	406
139	485	402
140	487	397
141	489	392
142	491	388
143	493	383
144	495	379
145	497	375
146	499	370
147	501	366
148	503	361
149	506	357
150	507	353
151	562	384
152	562	378
153	564	373
154	566	369
155	568	364
156	570	359
157	572	355
158	574	350
159	576	345
160	578	341
161	580	336
162	582	332
163	584	327
164	586	323
165	588	319
166	590	314
167	592	310
168	594	305
169	596	301
170	598	297
171	600	293
172	602	289
